itemsets,support,length
"(np.str_('Cheese'),)",0.15733333333333333,1
"(np.str_('Apple'),)",0.15633333333333332,1
"(np.str_('Tea'),)",0.15633333333333332,1
"(np.str_('Potato'),)",0.15433333333333332,1
"(np.str_('Chicken'),)",0.154,1
"(np.str_('Shampoo'),)",0.154,1
"(np.str_('Soda'),)",0.15333333333333332,1
"(np.str_('Bagel'),)",0.15333333333333332,1
"(np.str_('Cake'),)",0.15233333333333332,1
"(np.str_('Water'),)",0.15233333333333332,1
"(np.str_('Pork'),)",0.15166666666666667,1
"(np.str_('Detergent'),)",0.15166666666666667,1
"(np.str_('Toilet Paper'),)",0.151,1
"(np.str_('Milk'),)",0.15033333333333335,1
"(np.str_('Toothpaste'),)",0.15,1
"(np.str_('Beef'),)",0.14966666666666667,1
"(np.str_('Croissant'),)",0.14933333333333335,1
"(np.str_('Butter'),)",0.149,1
"(np.str_('Orange'),)",0.14833333333333334,1
"(np.str_('Coffee'),)",0.148,1
"(np.str_('Lettuce'),)",0.148,1
"(np.str_('Banana'),)",0.14633333333333334,1
"(np.str_('Carrot'),)",0.14566666666666667,1
"(np.str_('Yogurt'),)",0.14533333333333334,1
"(np.str_('Fish'),)",0.145,1
"(np.str_('Tomato'),)",0.14366666666666666,1
"(np.str_('Soap'),)",0.14333333333333334,1
"(np.str_('Juice'),)",0.14233333333333334,1
"(np.str_('Eggs'),)",0.14166666666666666,1
"(np.str_('Bread'),)",0.137,1
