transaction_id,items
0,"[np.str_('Cheese'), np.str_('Croissant'), np.str_('Pork'), np.str_('Toilet Paper'), np.str_('Water')]"
1,"[np.str_('Apple'), np.str_('Coffee'), np.str_('Lettuce')]"
2,"[np.str_('Apple'), np.str_('Butter'), np.str_('Cheese'), np.str_('Potato'), np.str_('Shampoo')]"
3,"[np.str_('Bagel'), np.str_('Banana'), np.str_('Lettuce'), np.str_('Potato'), np.str_('Tomato'), np.str_('Yogurt')]"
4,"[np.str_('Butter'), np.str_('Water')]"
5,"[np.str_('Apple'), np.str_('Beef'), np.str_('Soap')]"
6,"[np.str_('Banana'), np.str_('Fish'), np.str_('Tea'), np.str_('Tomato')]"
7,"[np.str_('Beef'), np.str_('Toothpaste')]"
8,"[np.str_('Bagel'), np.str_('Carrot'), np.str_('Coffee'), np.str_('Detergent'), np.str_('Milk'), np.str_('Shampoo'), np.str_('Toothpaste')]"
9,"[np.str_('Fish'), np.str_('Milk')]"
10,"[np.str_('Fish'), np.str_('Soda')]"
11,"[np.str_('Cake'), np.str_('Croissant')]"
12,"[np.str_('Bagel'), np.str_('Butter'), np.str_('Chicken'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Soda'), np.str_('Tomato')]"
13,"[np.str_('Bagel'), np.str_('Potato')]"
14,"[np.str_('Banana'), np.str_('Cheese'), np.str_('Croissant'), np.str_('Juice'), np.str_('Orange'), np.str_('Soda'), np.str_('Water')]"
15,"[np.str_('Croissant'), np.str_('Orange'), np.str_('Toilet Paper'), np.str_('Tomato'), np.str_('Toothpaste')]"
16,"[np.str_('Butter'), np.str_('Cheese'), np.str_('Orange')]"
17,"[np.str_('Carrot'), np.str_('Lettuce'), np.str_('Yogurt')]"
18,"[np.str_('Lettuce'), np.str_('Pork'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Toilet Paper')]"
19,"[np.str_('Banana'), np.str_('Butter'), np.str_('Juice'), np.str_('Yogurt')]"
20,"[np.str_('Apple'), np.str_('Banana'), np.str_('Lettuce'), np.str_('Milk'), np.str_('Toothpaste')]"
21,"[np.str_('Coffee'), np.str_('Pork')]"
22,"[np.str_('Bread'), np.str_('Fish'), np.str_('Soap'), np.str_('Tomato')]"
23,"[np.str_('Banana'), np.str_('Bread'), np.str_('Chicken'), np.str_('Juice'), np.str_('Milk'), np.str_('Soap')]"
24,"[np.str_('Bagel'), np.str_('Pork'), np.str_('Toilet Paper'), np.str_('Water'), np.str_('Yogurt')]"
25,"[np.str_('Pork'), np.str_('Tomato'), np.str_('Water'), np.str_('Yogurt')]"
26,"[np.str_('Orange'), np.str_('Pork'), np.str_('Soap'), np.str_('Soda'), np.str_('Toilet Paper'), np.str_('Toothpaste')]"
27,"[np.str_('Apple'), np.str_('Cheese'), np.str_('Chicken'), np.str_('Milk'), np.str_('Tea')]"
28,"[np.str_('Apple'), np.str_('Cake'), np.str_('Fish'), np.str_('Juice'), np.str_('Pork')]"
29,"[np.str_('Chicken'), np.str_('Milk'), np.str_('Tea'), np.str_('Tomato')]"
30,"[np.str_('Cheese'), np.str_('Pork'), np.str_('Yogurt')]"
31,"[np.str_('Detergent'), np.str_('Toothpaste')]"
32,"[np.str_('Soap'), np.str_('Soda'), np.str_('Toilet Paper')]"
33,"[np.str_('Beef'), np.str_('Carrot'), np.str_('Toilet Paper')]"
34,"[np.str_('Fish'), np.str_('Soda')]"
35,"[np.str_('Cake'), np.str_('Carrot'), np.str_('Chicken'), np.str_('Pork'), np.str_('Tomato'), np.str_('Toothpaste'), np.str_('Yogurt')]"
36,"[np.str_('Butter'), np.str_('Juice'), np.str_('Toilet Paper'), np.str_('Toothpaste')]"
37,"[np.str_('Eggs'), np.str_('Orange'), np.str_('Soap'), np.str_('Toilet Paper')]"
38,"[np.str_('Apple'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Orange'), np.str_('Shampoo'), np.str_('Soda')]"
39,"[np.str_('Banana'), np.str_('Croissant'), np.str_('Fish'), np.str_('Orange'), np.str_('Tea')]"
40,"[np.str_('Eggs'), np.str_('Shampoo'), np.str_('Tea'), np.str_('Toilet Paper')]"
41,"[np.str_('Banana'), np.str_('Fish'), np.str_('Pork'), np.str_('Potato'), np.str_('Tomato'), np.str_('Toothpaste')]"
42,"[np.str_('Cheese'), np.str_('Pork'), np.str_('Potato'), np.str_('Soap')]"
43,"[np.str_('Cheese'), np.str_('Croissant'), np.str_('Toilet Paper')]"
44,"[np.str_('Chicken'), np.str_('Juice')]"
45,"[np.str_('Apple'), np.str_('Detergent'), np.str_('Pork')]"
46,"[np.str_('Apple'), np.str_('Fish'), np.str_('Milk')]"
47,"[np.str_('Cheese'), np.str_('Detergent'), np.str_('Eggs'), np.str_('Juice'), np.str_('Potato'), np.str_('Toothpaste')]"
48,"[np.str_('Beef'), np.str_('Lettuce'), np.str_('Potato'), np.str_('Tomato'), np.str_('Toothpaste')]"
49,"[np.str_('Apple'), np.str_('Cake'), np.str_('Chicken'), np.str_('Coffee'), np.str_('Orange'), np.str_('Soda'), np.str_('Toothpaste')]"
50,"[np.str_('Potato'), np.str_('Water'), np.str_('Yogurt')]"
51,"[np.str_('Beef'), np.str_('Cake'), np.str_('Croissant'), np.str_('Water')]"
52,"[np.str_('Bagel'), np.str_('Cheese'), np.str_('Chicken')]"
53,"[np.str_('Pork'), np.str_('Toilet Paper')]"
54,"[np.str_('Carrot'), np.str_('Coffee'), np.str_('Milk')]"
55,"[np.str_('Apple'), np.str_('Carrot'), np.str_('Chicken'), np.str_('Lettuce'), np.str_('Shampoo'), np.str_('Toothpaste')]"
56,"[np.str_('Apple'), np.str_('Carrot'), np.str_('Cheese'), np.str_('Tomato')]"
57,"[np.str_('Detergent'), np.str_('Eggs'), np.str_('Fish'), np.str_('Shampoo')]"
58,"[np.str_('Apple'), np.str_('Butter'), np.str_('Cake'), np.str_('Croissant'), np.str_('Fish'), np.str_('Toilet Paper')]"
59,"[np.str_('Coffee'), np.str_('Milk')]"
60,"[np.str_('Coffee'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Toothpaste'), np.str_('Yogurt')]"
61,"[np.str_('Cake'), np.str_('Detergent'), np.str_('Yogurt')]"
62,"[np.str_('Coffee'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Tea'), np.str_('Yogurt')]"
63,"[np.str_('Butter'), np.str_('Orange'), np.str_('Potato'), np.str_('Water')]"
64,"[np.str_('Apple'), np.str_('Juice'), np.str_('Toilet Paper')]"
65,"[np.str_('Apple'), np.str_('Bread'), np.str_('Fish'), np.str_('Soap')]"
66,"[np.str_('Butter'), np.str_('Chicken'), np.str_('Detergent'), np.str_('Lettuce')]"
67,"[np.str_('Butter'), np.str_('Coffee'), np.str_('Pork')]"
68,"[np.str_('Bagel'), np.str_('Coffee'), np.str_('Pork'), np.str_('Toothpaste'), np.str_('Yogurt')]"
69,"[np.str_('Bread'), np.str_('Carrot'), np.str_('Shampoo')]"
70,"[np.str_('Fish'), np.str_('Juice')]"
71,"[np.str_('Bagel'), np.str_('Bread'), np.str_('Butter'), np.str_('Orange'), np.str_('Soap'), np.str_('Tomato'), np.str_('Toothpaste')]"
72,"[np.str_('Juice'), np.str_('Milk')]"
73,"[np.str_('Beef'), np.str_('Coffee'), np.str_('Detergent'), np.str_('Pork'), np.str_('Tea'), np.str_('Tomato'), np.str_('Toothpaste')]"
74,"[np.str_('Apple'), np.str_('Shampoo'), np.str_('Tea'), np.str_('Water')]"
75,"[np.str_('Bread'), np.str_('Cheese'), np.str_('Eggs'), np.str_('Yogurt')]"
76,"[np.str_('Bagel'), np.str_('Banana'), np.str_('Cheese'), np.str_('Fish'), np.str_('Orange'), np.str_('Pork'), np.str_('Soda')]"
77,"[np.str_('Detergent'), np.str_('Fish'), np.str_('Lettuce')]"
78,"[np.str_('Cake'), np.str_('Eggs'), np.str_('Milk'), np.str_('Soap'), np.str_('Soda'), np.str_('Tomato')]"
79,"[np.str_('Bread'), np.str_('Fish'), np.str_('Toothpaste')]"
80,"[np.str_('Coffee'), np.str_('Juice'), np.str_('Pork'), np.str_('Toilet Paper')]"
81,"[np.str_('Beef'), np.str_('Bread'), np.str_('Cheese'), np.str_('Orange'), np.str_('Pork'), np.str_('Toilet Paper'), np.str_('Yogurt')]"
82,"[np.str_('Chicken'), np.str_('Coffee'), np.str_('Toothpaste')]"
83,"[np.str_('Bagel'), np.str_('Bread'), np.str_('Toothpaste'), np.str_('Water')]"
84,"[np.str_('Apple'), np.str_('Pork')]"
85,"[np.str_('Coffee'), np.str_('Yogurt')]"
86,"[np.str_('Bagel'), np.str_('Tomato'), np.str_('Toothpaste')]"
87,"[np.str_('Bagel'), np.str_('Beef'), np.str_('Eggs'), np.str_('Juice'), np.str_('Shampoo')]"
88,"[np.str_('Cheese'), np.str_('Detergent'), np.str_('Lettuce'), np.str_('Pork'), np.str_('Tea'), np.str_('Tomato')]"
89,"[np.str_('Detergent'), np.str_('Orange'), np.str_('Soda'), np.str_('Toilet Paper')]"
90,"[np.str_('Carrot'), np.str_('Toothpaste')]"
91,"[np.str_('Apple'), np.str_('Juice'), np.str_('Lettuce'), np.str_('Pork'), np.str_('Yogurt')]"
92,"[np.str_('Beef'), np.str_('Bread'), np.str_('Pork'), np.str_('Tomato'), np.str_('Water'), np.str_('Yogurt')]"
93,"[np.str_('Detergent'), np.str_('Toothpaste')]"
94,"[np.str_('Apple'), np.str_('Banana'), np.str_('Chicken'), np.str_('Croissant'), np.str_('Toilet Paper')]"
95,"[np.str_('Apple'), np.str_('Butter'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Shampoo')]"
96,"[np.str_('Milk'), np.str_('Toilet Paper')]"
97,"[np.str_('Cheese'), np.str_('Eggs'), np.str_('Fish'), np.str_('Milk')]"
98,"[np.str_('Apple'), np.str_('Bagel'), np.str_('Banana'), np.str_('Butter'), np.str_('Chicken'), np.str_('Croissant'), np.str_('Potato')]"
99,"[np.str_('Beef'), np.str_('Chicken'), np.str_('Soda'), np.str_('Toilet Paper'), np.str_('Toothpaste'), np.str_('Water')]"
100,"[np.str_('Chicken'), np.str_('Orange'), np.str_('Potato'), np.str_('Tea')]"
101,"[np.str_('Beef'), np.str_('Bread'), np.str_('Cheese'), np.str_('Chicken'), np.str_('Detergent'), np.str_('Juice')]"
102,"[np.str_('Bagel'), np.str_('Chicken'), np.str_('Coffee'), np.str_('Croissant'), np.str_('Pork'), np.str_('Shampoo')]"
103,"[np.str_('Cake'), np.str_('Juice'), np.str_('Potato'), np.str_('Shampoo'), np.str_('Toilet Paper'), np.str_('Toothpaste')]"
104,"[np.str_('Bread'), np.str_('Croissant'), np.str_('Fish'), np.str_('Milk'), np.str_('Shampoo')]"
105,"[np.str_('Apple'), np.str_('Carrot'), np.str_('Chicken'), np.str_('Juice'), np.str_('Pork'), np.str_('Soap'), np.str_('Yogurt')]"
106,"[np.str_('Cake'), np.str_('Juice'), np.str_('Yogurt')]"
107,"[np.str_('Bagel'), np.str_('Butter'), np.str_('Croissant'), np.str_('Potato')]"
108,"[np.str_('Apple'), np.str_('Banana'), np.str_('Butter'), np.str_('Carrot'), np.str_('Croissant'), np.str_('Potato'), np.str_('Tea')]"
109,"[np.str_('Carrot'), np.str_('Detergent'), np.str_('Eggs'), np.str_('Water'), np.str_('Yogurt')]"
110,"[np.str_('Carrot'), np.str_('Juice'), np.str_('Lettuce'), np.str_('Milk'), np.str_('Water'), np.str_('Yogurt')]"
111,"[np.str_('Apple'), np.str_('Bread'), np.str_('Potato'), np.str_('Toothpaste'), np.str_('Yogurt')]"
112,"[np.str_('Banana'), np.str_('Carrot'), np.str_('Cheese'), np.str_('Fish'), np.str_('Pork'), np.str_('Potato'), np.str_('Soap')]"
113,"[np.str_('Banana'), np.str_('Cake'), np.str_('Eggs'), np.str_('Lettuce'), np.str_('Pork'), np.str_('Toothpaste')]"
114,"[np.str_('Butter'), np.str_('Lettuce')]"
115,"[np.str_('Coffee'), np.str_('Milk')]"
116,"[np.str_('Cake'), np.str_('Eggs'), np.str_('Milk'), np.str_('Pork')]"
117,"[np.str_('Beef'), np.str_('Cake'), np.str_('Eggs'), np.str_('Milk')]"
118,"[np.str_('Apple'), np.str_('Banana'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Milk')]"
119,"[np.str_('Apple'), np.str_('Bagel'), np.str_('Beef'), np.str_('Eggs'), np.str_('Soda'), np.str_('Toothpaste')]"
120,"[np.str_('Bread'), np.str_('Cake'), np.str_('Cheese'), np.str_('Croissant'), np.str_('Potato'), np.str_('Soap'), np.str_('Yogurt')]"
121,"[np.str_('Cake'), np.str_('Croissant'), np.str_('Juice'), np.str_('Pork'), np.str_('Soda')]"
122,"[np.str_('Banana'), np.str_('Eggs'), np.str_('Water')]"
123,"[np.str_('Apple'), np.str_('Carrot'), np.str_('Coffee'), np.str_('Lettuce'), np.str_('Soap'), np.str_('Tomato'), np.str_('Toothpaste')]"
124,"[np.str_('Butter'), np.str_('Cake'), np.str_('Croissant'), np.str_('Eggs')]"
125,"[np.str_('Apple'), np.str_('Potato'), np.str_('Tomato')]"
126,"[np.str_('Butter'), np.str_('Croissant'), np.str_('Detergent'), np.str_('Fish'), np.str_('Orange'), np.str_('Shampoo')]"
127,"[np.str_('Bagel'), np.str_('Chicken'), np.str_('Yogurt')]"
128,"[np.str_('Cake'), np.str_('Detergent'), np.str_('Soda'), np.str_('Tea')]"
129,"[np.str_('Banana'), np.str_('Carrot'), np.str_('Milk')]"
130,"[np.str_('Detergent'), np.str_('Soda'), np.str_('Yogurt')]"
131,"[np.str_('Cake'), np.str_('Carrot'), np.str_('Fish'), np.str_('Pork'), np.str_('Toilet Paper')]"
132,"[np.str_('Carrot'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Soap')]"
133,"[np.str_('Bagel'), np.str_('Banana'), np.str_('Bread'), np.str_('Lettuce'), np.str_('Tea'), np.str_('Yogurt')]"
134,"[np.str_('Cake'), np.str_('Water')]"
135,"[np.str_('Carrot'), np.str_('Croissant'), np.str_('Eggs'), np.str_('Pork')]"
136,"[np.str_('Cheese'), np.str_('Eggs'), np.str_('Tomato')]"
137,"[np.str_('Beef'), np.str_('Bread'), np.str_('Detergent'), np.str_('Water'), np.str_('Yogurt')]"
138,"[np.str_('Beef'), np.str_('Detergent'), np.str_('Lettuce'), np.str_('Soap'), np.str_('Water')]"
139,"[np.str_('Lettuce'), np.str_('Milk'), np.str_('Toilet Paper'), np.str_('Water')]"
140,"[np.str_('Carrot'), np.str_('Fish'), np.str_('Pork')]"
141,"[np.str_('Bagel'), np.str_('Banana'), np.str_('Butter'), np.str_('Cake'), np.str_('Eggs'), np.str_('Lettuce')]"
142,"[np.str_('Apple'), np.str_('Milk'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Water')]"
143,"[np.str_('Apple'), np.str_('Banana'), np.str_('Soda'), np.str_('Yogurt')]"
144,"[np.str_('Bagel'), np.str_('Coffee'), np.str_('Milk'), np.str_('Toilet Paper')]"
